"","manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"1","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"2","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv"
"3","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"4","chevrolet","c1500 suburban 2wd",5.7,1999,8,"auto(l4)","r",13,17,"r","suv"
"5","chevrolet","c1500 suburban 2wd",6,2008,8,"auto(l4)","r",12,17,"r","suv"
"6","chevrolet","corvette",5.7,1999,8,"manual(m6)","r",16,26,"p","2seater"
"7","chevrolet","corvette",5.7,1999,8,"auto(l4)","r",15,23,"p","2seater"
"8","chevrolet","corvette",6.2,2008,8,"manual(m6)","r",16,26,"p","2seater"
"9","chevrolet","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater"
"10","chevrolet","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater"
"11","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",14,19,"r","suv"
"12","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",11,14,"e","suv"
"13","chevrolet","k1500 tahoe 4wd",5.7,1999,8,"auto(l4)","4",11,15,"r","suv"
"14","chevrolet","k1500 tahoe 4wd",6.5,1999,8,"auto(l4)","4",14,17,"d","suv"
"15","chevrolet","malibu",2.4,1999,4,"auto(l4)","f",19,27,"r","midsize"
"16","chevrolet","malibu",2.4,2008,4,"auto(l4)","f",22,30,"r","midsize"
"17","chevrolet","malibu",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize"
"18","chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize"
"19","chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize"
"20","ford","expedition 2wd",4.6,1999,8,"auto(l4)","r",11,17,"r","suv"
"21","ford","expedition 2wd",5.4,1999,8,"auto(l4)","r",11,17,"r","suv"
"22","ford","expedition 2wd",5.4,2008,8,"auto(l6)","r",12,18,"r","suv"
"23","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"24","ford","explorer 4wd",4,1999,6,"manual(m5)","4",15,19,"r","suv"
"25","ford","explorer 4wd",4,1999,6,"auto(l5)","4",14,17,"r","suv"
"26","ford","explorer 4wd",4,2008,6,"auto(l5)","4",13,19,"r","suv"
"27","ford","explorer 4wd",4.6,2008,8,"auto(l6)","4",13,19,"r","suv"
"28","ford","explorer 4wd",5,1999,8,"auto(l4)","4",13,17,"r","suv"
"29","ford","f150 pickup 4wd",4.2,1999,6,"auto(l4)","4",14,17,"r","pickup"
"30","ford","f150 pickup 4wd",4.2,1999,6,"manual(m5)","4",14,17,"r","pickup"
"31","ford","f150 pickup 4wd",4.6,1999,8,"manual(m5)","4",13,16,"r","pickup"
"32","ford","f150 pickup 4wd",4.6,1999,8,"auto(l4)","4",13,16,"r","pickup"
"33","ford","f150 pickup 4wd",4.6,2008,8,"auto(l4)","4",13,17,"r","pickup"
"34","ford","f150 pickup 4wd",5.4,1999,8,"auto(l4)","4",11,15,"r","pickup"
"35","ford","f150 pickup 4wd",5.4,2008,8,"auto(l4)","4",13,17,"r","pickup"
"36","ford","mustang",3.8,1999,6,"manual(m5)","r",18,26,"r","subcompact"
"37","ford","mustang",3.8,1999,6,"auto(l4)","r",18,25,"r","subcompact"
"38","ford","mustang",4,2008,6,"manual(m5)","r",17,26,"r","subcompact"
"39","ford","mustang",4,2008,6,"auto(l5)","r",16,24,"r","subcompact"
"40","ford","mustang",4.6,1999,8,"auto(l4)","r",15,21,"r","subcompact"
"41","ford","mustang",4.6,1999,8,"manual(m5)","r",15,22,"r","subcompact"
"42","ford","mustang",4.6,2008,8,"manual(m5)","r",15,23,"r","subcompact"
"43","ford","mustang",4.6,2008,8,"auto(l5)","r",15,22,"r","subcompact"
"44","ford","mustang",5.4,2008,8,"manual(m6)","r",14,20,"p","subcompact"
"45","honda","civic",1.6,1999,4,"manual(m5)","f",28,33,"r","subcompact"
"46","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"47","honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact"
"48","honda","civic",1.6,1999,4,"manual(m5)","f",23,29,"p","subcompact"
"49","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"50","honda","civic",1.8,2008,4,"manual(m5)","f",26,34,"r","subcompact"
"51","honda","civic",1.8,2008,4,"auto(l5)","f",25,36,"r","subcompact"
"52","honda","civic",1.8,2008,4,"auto(l5)","f",24,36,"c","subcompact"
"53","honda","civic",2,2008,4,"manual(m6)","f",21,29,"p","subcompact"
